trial,loss,lr,bs,wd,grad_norm,mask_prob,warmup_ratio
53,5.434070348739624,7.015084950905933e-05,512,0.11893864481685111,1.6113510224735512,0.1426873063339833,0.08309979136854845
68,5.438999444246292,0.00022042036757645382,64,0.007925506414052139,2.7655539742256643,0.17754384522355132,0.11696637642477443
50,5.4393041133880615,0.00014527993605564942,512,0.15596933803277876,1.9535452296196762,0.2311315754506607,0.01068029316999137
59,5.439885854721069,0.0002688379454508072,64,0.07006742697239232,1.4510037521720256,0.17828477684131896,0.05427926555954872
18,5.440869450569153,0.00031593224132525573,32,0.06993635776297455,1.892069248262119,0.14595889325176728,0.28697382407132155
21,5.443796515464783,1.7376171240058274e-05,128,0.2345063908394696,2.5514588219728,0.14077970538995863,0.2490374604262169
77,5.444406270980835,0.00011060697221025087,64,0.14988522993642767,2.2359802018448205,0.12891327104979985,0.02367323092825882
39,5.446538281819177,0.00010854794263860575,16,0.16865398215043986,1.6183637190993003,0.18866690143951495,0.07978673647046866
78,5.446810722351074,0.0002680658447397963,1024,0.09080172610334321,2.4565505974595534,0.172986928614387,0.04602505234613183
24,5.448369383811951,2.727033031996034e-05,256,0.1589214834505015,2.3966297633453295,0.14608488734435565,0.17726768271169024
47,5.448726177215576,0.00020779391867566712,1024,0.21412399370713256,2.74947885919371,0.22452726603558704,0.04870416593306816
72,5.448996067047119,0.00020387344445058382,1024,0.2760860734723246,1.6812543060609948,0.2324947422725496,0.2660085370078115
48,5.45504692196846,0.00018621519353975138,64,0.07595296031728163,1.2343951903093018,0.24995058811922616,0.0331246512748235
67,5.458748608827591,0.0002756570672610949,64,0.20714173632298377,1.658587329502961,0.19264229756505044,0.023975467364496402
10,5.461377859115601,5.5287954391906136e-05,512,0.15830630689996947,2.960046276276874,0.18349994711856688,0.10942813829649892
62,5.4619122594594955,0.0002145549797668456,32,0.08160795889309587,1.8200124829138542,0.15572410183612947,0.016710735135453465
52,5.466533199189201,0.00014381266937008329,16,0.11567157260325081,2.094937604342533,0.2481098919433284,0.03457791089519854
46,5.476049184799194,0.0003071108970612592,32,0.16395597995127253,1.2281437265570045,0.20486897644543833,0.011948375411439855
64,5.4784919118124344,8.615446650558681e-05,16,0.2367266727363012,1.9700924315193729,0.2245195949223855,0.025567137929362077
9,5.483610510826111,0.0004172773635546572,32,0.2830762186285698,2.3367359884463688,0.18824486460308543,0.16086748352506855
61,5.497790813446045,5.390049860046142e-05,1024,0.10908948634831896,2.463972315079073,0.2350120562252422,0.144381185926017
13,5.525506213307381,0.0005428260030267555,32,0.1991164008281408,2.239765792162321,0.13198188687898796,0.029130428407383724
54,5.53301528096199,0.0003264740256619743,64,0.18292983093933793,2.941161130817472,0.22754527341065045,0.06243791957040923
70,5.535165369510651,0.0002615166077575206,64,0.06419895788744814,2.999221912494728,0.1346768945668687,0.029776678727019425
26,5.5364948362112045,0.0004690144845585772,32,0.06580996615754275,2.168217402309717,0.16129509618409418,0.11329233188799377
51,5.548129588365555,0.00039563362984581754,64,0.12402970110635067,2.1278788440708607,0.22571680585716417,0.11500861655497112
44,5.551274299621582,0.0008106279462708365,256,0.24336615852948618,2.0619536173234136,0.24050925254961242,0.04042746707024526
75,5.562516868114471,0.0006005469160501863,128,0.1439098975403082,2.2078486340521257,0.20256595712909636,0.07303742828553665
73,5.630580569070483,0.00019395235066093668,16,0.1439364883530653,2.6046567657164417,0.17432156157375006,0.04138937067348589
15,5.667628765106201,1.908900479503631e-05,1024,0.13248825366372477,2.8522578564370553,0.11166352342818446,0.006076360739891484
